step,reward
10,0.6848919570446015
20,0.7157407104969025
30,0.6798362553119659
40,0.7282575190067291
50,0.671880665421486
60,0.839651471376419
70,0.7395745247602463
80,0.7875932872295379
90,0.7924631178379059
100,0.7398074775934219
110,0.6317844957113266
120,0.7320854604244232
130,0.7939383387565613
140,0.8043983221054077
150,0.6865354537963867
160,0.6915207147598267
170,0.8064485728740692
180,0.8026308476924896
190,0.6992685556411743
200,0.8085511088371277
210,0.8333185136318206
220,0.7440137267112732
230,0.7624669075012207
240,0.7221156835556031
250,0.6965912520885468
260,0.7301349937915802
270,0.7963935017585755
280,0.8150646656751632
290,0.7778673321008682
300,0.7843928396701813
310,0.8257820427417755
320,0.7817367970943451
330,0.814075443148613
340,0.7319439768791198
350,0.5819469690322876
360,0.7890125811100006
370,0.7293575227260589
380,0.7389792770147323
390,0.7297788709402084
400,0.8040296196937561
410,0.7996818721294403
420,0.7780978202819824
430,0.7069622129201889
440,0.7938516438007355
450,0.8118315190076828
460,0.7281382560729981
470,0.7259095311164856
480,0.7363125175237656
490,0.650202539563179
500,0.7163316369056701
510,0.7713804185390473
520,0.7641174137592316
530,0.7136211574077607
540,0.8158693194389344
550,0.8724796354770661
560,0.732838299870491
570,0.8635815978050232
580,0.7455841660499573
590,0.8103751838207245
600,0.7839251160621643
610,0.7156729280948639
620,0.7538269877433776
630,0.7939801573753357
640,0.7893060624599457
650,0.7976816922426224
660,0.650528022646904
670,0.691098976135254
680,0.7946391403675079
690,0.7610278069972992
700,0.8066186547279358
710,0.7259281694889068
720,0.816544908285141
730,0.7710605323314667
740,0.7997032046318054
750,0.7735032975673676
760,0.7933858841657638
770,0.8174161970615387
780,0.7436463832855225
790,0.8052406668663025
800,0.7095231741666794
810,0.7679609596729279
820,0.6820550978183746
830,0.8137391209602356
840,0.697667270898819
850,0.7515667021274567
860,0.781507134437561
870,0.6881522960960865
880,0.7691824018955231
890,0.8263727068901062
900,0.8010948866605758
910,0.7279969602823257
920,0.810889595746994
930,0.8122006952762604
940,0.7895022928714752
950,0.8152954459190369
960,0.8791748464107514
970,0.7301007330417633
980,0.8533552825450897
