step,reward
10,0.7896954238414764
20,0.7744195073843002
30,0.6261884510517121
40,0.838149243593216
50,0.7851058006286621
60,0.7595888763666153
70,0.7835531860589982
80,0.6847244411706924
90,0.7156931638717652
100,0.7072594553232193
110,0.7983443111181259
120,0.7427572190761567
130,0.7741950422525405
140,0.7371663928031922
150,0.7241242110729218
160,0.6767126113176346
170,0.6838732630014419
180,0.7532403588294982
190,0.7220011502504349
200,0.8068427085876465
210,0.7250381439924241
220,0.6806824415922165
230,0.7120915338397026
240,0.7652221560478211
250,0.5680522412061692
260,0.7118607550859452
270,0.6067008055746556
280,0.7517024368047714
290,0.7340516924858094
300,0.7242642432451248
310,0.7354782581329345
320,0.6342823460698128
330,0.7626282155513764
340,0.7428134262561799
350,0.7112905085086823
360,0.7104205697774887
370,0.7368288278579712
380,0.733788537979126
390,0.7832110583782196
400,0.8424599230289459
410,0.6151667401194573
420,0.735426539182663
430,0.6892649292945862
440,0.7657772839069367
450,0.7581445872783661
460,0.7589895278215408
470,0.5925613582134247
480,0.7508873701095581
490,0.6163713417947292
500,0.7253927916288376
510,0.6692959308624268
520,0.7767322659492493
530,0.6968702673912048
540,0.7694630056619645
550,0.7254982486367225
560,0.7212004572153091
570,0.8380178272724151
580,0.7963666647672654
590,0.7149287968873977
600,0.6931848138570785
610,0.7292078278958798
620,0.8361897379159927
630,0.7171468824148178
640,0.7422418624162674
650,0.7205819308757782
660,0.8398748993873596
670,0.7366060048341752
680,0.7391975790262222
690,0.7605424702167511
700,0.7046071976423264
710,0.7977119982242584
720,0.7547378659248352
730,0.796829354763031
740,0.7574142754077912
750,0.8247654616832734
760,0.8195828855037689
770,0.651157059520483
780,0.7251316204667091
790,0.7625789135694504
800,0.7215659439563751
810,0.6135459378361702
820,0.7931746006011963
830,0.7478808999061585
840,0.7772137194871902
850,0.8430509507656098
860,0.7794093877077103
870,0.7010275676846505
880,0.7961124300956726
890,0.7161477893590927
900,0.7949392050504684
910,0.7651618480682373
920,0.6867428421974182
930,0.726723113656044
940,0.703746896982193
950,0.6038651302456856
960,0.770834219455719
970,0.8080136060714722
980,0.708796039223671
990,0.7180099844932556
1000,0.6971150189638138
1010,0.8546100378036499
1020,0.7619586646556854
1030,0.7886983752250671
1040,0.81322962641716
1050,0.7145650185644626
1060,0.7583558142185212
1070,0.8456390798091888
1080,0.7193885803222656
1090,0.813890689611435
1100,0.6361552581191063
1110,0.631287444382906
1120,0.7727977693080902
1130,0.7160752832889556
1140,0.8477883338928223
1150,0.767640483379364
1160,0.6821804076433182
1170,0.7627176314592361
1180,0.690127643942833
1190,0.7342596769332885
1200,0.7519896328449249
1210,0.7525394290685654
1220,0.750513157248497
1230,0.634514233469963
1240,0.7824954032897949
1250,0.8135702937841416
1260,0.6648294508457184
1270,0.7319949418306351
1280,0.6593510806560516
1290,0.8263216912746429
1300,0.7246303558349609
1310,0.8389803349971772
1320,0.7801328629255295
1330,0.6268531322479248
1340,0.6508892804384232
1350,0.8051320731639862
1360,0.7570922017097473
1370,0.7344049662351608
1380,0.5672069653868675
1390,0.7323357284069061
1400,0.7579286396503448
1410,0.758630895614624
1420,0.7177843034267426
1430,0.7135329008102417
1440,0.7324690394103527
1450,0.7544156074523926
1460,0.7037652797996998
1470,0.7559535652399063
1480,0.6671134829521179
1490,0.7997538715600967
1500,0.6537430912256241
